Type,adjusted_time_hours,Price
ask,0.0,259.05878408582925
ask,1.0,257.9227330779055
ask,2.0,266.82758620689657
ask,3.0,280.1764705882353
ask,4.0,283.9264367816092
ask,5.0,278.4917452830189
ask,6.0,278.9537037037037
ask,7.0,280.33516483516485
ask,8.0,289.7334061731767
ask,9.0,297.9833667909378
ask,10.0,298.20396862021227
ask,11.0,287.6097930338213
ask,12.0,290.8875207198674
ask,13.0,294.97594594594597
ask,14.0,299.9418526031102
ask,15.0,295.518771331058
ask,16.0,295.2857142857143
ask,17.0,286.1256235827664
ask,18.0,290.8489240228371
ask,19.0,300.6041734594066
ask,20.0,299.2819499341239
ask,21.0,316.0190422850742
ask,22.0,315.8773444477523
ask,23.0,308.9116809116809
ask,24.0,315.6026711185309
ask,25.0,324.65331391114347
ask,26.0,324.39647887323946
ask,27.0,326.31632653061223
ask,28.0,340.2185039370079
ask,29.0,341.8363636363636
ask,30.0,349.0
ask,31.0,361.6920529801325
ask,32.0,363.70531400966183
ask,33.0,360.27069351230426
ask,34.0,340.64285714285717
ask,35.0,336.65406976744185
ask,36.0,329.0
ask,37.0,324.48573518653984
ask,38.0,324.07702702702704
ask,39.0,315.94117647058823
ask,40.0,313.37083333333334
ask,41.0,317.66234967622574
ask,42.0,311.43162605668823
ask,43.0,312.44166666666666
ask,44.0,316.45108695652175
ask,45.0,318.49242424242425
ask,46.0,337.02450980392155
ask,47.0,337.77966101694915
ask,48.0,318.6296296296296
ask,49.0,307.92330677290835
ask,50.0,308.53467741935486
ask,51.0,316.98308026030367
ask,52.0,315.6632302405498
ask,53.0,320.89042916824917
ask,54.0,320.44070904645474
ask,55.0,312.83772480133837
ask,56.0,304.81845637583893
ask,57.0,293.80625
ask,58.0,285.16474464579903
ask,59.0,282.27272727272725
ask,60.0,293.9816076294278
ask,61.0,303.89642308536315
ask,62.0,302.47207658992477
ask,63.0,311.57496671105196
ask,64.0,312.8173007026896
ask,65.0,318.1632896305125
ask,66.0,332.39130434782606
ask,67.0,330.0462800234329
ask,68.0,327.97263157894736
ask,69.0,331.486388384755
ask,70.0,332.1050884955752
ask,71.0,327.38631346578364
ask,72.0,325.4588896697119
ask,73.0,317.92223738062756
ask,74.0,310.24949494949493
ask,75.0,318.14516129032256
ask,76.0,332.2061403508772
ask,77.0,331.5433255269321
ask,78.0,327.2834224598931
ask,79.0,317.6049515608181
ask,80.0,315.84229390681
ask,81.0,300.09285714285716
ask,82.0,308.8792415169661
ask,83.0,306.85289990645464
ask,84.0,309.8145679600095
ask,85.0,303.78702327885094
ask,86.0,294.59026369168356
ask,87.0,293.1841085271318
ask,88.0,302.24531459170015
ask,89.0,292.03227472243736
ask,90.0,289.6555296555297
ask,91.0,284.4242031614408
ask,92.0,278.65245901639344
ask,93.0,275.3377916903813
ask,94.0,280.7995724211652
ask,95.0,282.5157232704403
ask,96.0,283.6610229276896
ask,97.0,279.96769562096193
ask,98.0,288.4488228004957
ask,99.0,298.114766641163
ask,100.0,302.5784795321637
ask,101.0,306.46878727634197
ask,102.0,321.43004496165037
ask,103.0,330.6476021314387
ask,104.0,333.4431330472103
ask,105.0,325.77367205542726
ask,106.0,340.20327552986515
ask,107.0,328.3954248366013
ask,108.0,331.34647887323945
ask,109.0,336.36016260162603
ask,110.0,348.96385542168673
ask,111.0,355.21940928270044
ask,112.0,367.1818181818182
ask,113.0,367.043630017452
ask,114.0,360.15230312035663
ask,115.0,350.2736842105263
ask,116.0,342.016091954023
ask,117.0,340.3164983164983
ask,118.0,322.19172413793103
ask,119.0,312.843912591051
ask,120.0,312.3550600343053
ask,121.0,313.03171247357295
